RunAcc	Strain
AF_1869	AFUG_031815-1869
S84_NIH	84-NIH
B5_2	B5461_CDC-2
AF_1200	AFUG_082015-1200
AF_0667	AFUG_100413-0667
B52_28	B5257_CDC-28
AFIS1435_CDC_6	AFIS1435_CDC_6
B5258CDC_22	B5258_CDC_22
B5960CDC_29	B5960_CDC_29
B6894CDC_5	B6894_CDC_5
B7594CDC_27	B7594_CDC_27
Moose_3_1_2	Moose-3_1_2
Oryx_1	Oryx-1
