totals	strain	pop_name
1211	AF100_12_38	AF100-12_38
1214	AF300	AF300
1217	DMC2_AF100_1_11	AF100-1_11
1220	CF337	CF337
1221	F12041	F12041
1223	B5960_CDC_29	B5960CDC_29
1223	F12636	F12636
1224	AZTEC_6_232	AZTEC_6_232
1226	08_19_02_30	08-19-02-30
1226	IFM_59356_2	IFM_59356-2
1227	B6894_CDC_5	B6894CDC_5
1229	IFM_61118	IFM_61118
1230	AF100_11A	AF100-11A
1231	F18085	F18085
1233	B6078	B6078
1234	AZTEC_9_222	AZTEC_9_222
1235	08_31_08_91	08-31-08-91
1237	F18304	F18304
1237	Mg18_1	Mg18-1
1238	CF098	CF098
1240	F21857	F21857
1241	B7594_CDC_27	B7594CDC_27
1243	COH_762	COH_762
1244	IFM_59073	IFM_59073
1245	B6074	B6074
1247	CM7555	CM7555
1247	MO76959EP	MO76959EXP
1248	AFUG_100413_0667	AFUG_100413-0667
1249	F15767	F15767
1249	ISSF_21	ISSF_21
1253	B5289_CDC_25	B5289_CDC-25
1255	AZTEC_10_245	AZTEC_10_245
1256	B6069	B6069
1256	DMC2_AF100_1_8	AF100-1_8
1258	COH_694	R2_COH_694
1259	B6079	B6079
1265	AFIS1435_CDC_6	AFIS1435_CDC_6
1269	CM7632	CM7632
1269	MO68507EP	MO68507EXP
1271	10_01_02_27	10-01-02-27
1278	08_36_03_25	08-36-03-25
1278	DMC2_AF100_1_4	AF100-1_4
1280	DMC2_AF1001_15	AF1001_15
1280	IFM_59777	IFM_59777
1281	AF100_12_7G	AF100-12_7G
1282	MO69250EP	MO69250EXP
1284	09_7500806	09-7500806
1287	COH_913	COH_913
1289	B7444_CDC_7	B7444_CDC-7
1294	IFM_59359	IFM_59359
1295	Af65	Af65
1296	B5257_CDC_28	B5257_CDC-28
1299	COH_371	COH_371
1305	COH_880	COH_880
1307	B5258_CDC_22	B5258CDC_22
1316	MO78722EP	MO78722EXP
1317	AZTEC_7_225	AZTEC_7_225
1320	MO54056EP	MO54056EXP
1324	12_7505220	12-7505220
