name_pop_genome_old	name_pop_genome_new	name_Pan_genome	OF_name	name_to_use_in_paper	clade	MAT_type
A_fum_B5852	B5852	Afum_B5852	B5852	B5852	1	MAT1
A_fum_B5854	B5854	Afum_B5854	B5854	B5854	1	MAT1
A_fum_B5856	B5856	Afum_B5856	B5856	B5856	1	MAT1
A_fum_B5859	B5859	Afum_B5859	B5859	B5859	2	MAT2
A_fum_B5863	B5863	Afum_B5863	B5863	B5863	1	MAT1
A_fum_B5866	B5866	Afum_B5866	B5866	B5866	1	MAT1
A_fum_B5868	B5868	Afum_B5868	B5868	B5868	1	MAT1
A_fum_B5960_CDC_29	B5960_CDC-29	Afum_B5960_CDC_29	B5960_CDC_29	B5960	1	MAT1
A_fum_B6069	B6069	Afum_B6069	B6069	B6069	1	MAT1
A_fum_B6074	B6074	Afum_B6074	B6074	B6074	1	MAT1
A_fum_B6078	B6078	Afum_B6078	B6078	B6078	1	MAT1
A_fum_B6079	B6079	Afum_B6079	B6079	B6079	1	MAT1
A_fum_B6081	B6081	Afum_B6081	B6081	B6081	1	MAT1
A_fum_B6892_CDC_3	B6892_CDC-3	Afum_B6892_CDC_3	B6892_CDC_3	B6892	1	MAT1
A_fum_B6893_CDC_4	B6893_CDC-4	Afum_B6893_CDC_4	B6893_CDC_4	B6893	1	MAT1
A_fum_B6894_CDC_5	B6894_CDC-5	Afum_B6894_CDC_5	B6894_CDC_5	B6894	1	MAT1
A_fum_B72911_CDC_15	B72911_CDC-15	Afum_B72911_CDC_15	B72911_CDC_15	B72911	1	MAT2
A_fum_B7444_CDC_7	B7444_CDC-7	Afum_B7444_CDC_7	B7444_CDC_7	B7444	1	MAT1
A_fum_B7518_CDC_26	B7518_CDC-26	Afum_B7518_CDC_26	B7518_CDC_26	B7518	1	MAT2
A_fum_B7586_CDC_30	B7586_CDC-30	Afum_B7586_CDC_30	B7586_CDC_30	B7586	1	unknown
A_fum_B7594_CDC_27	B7594_CDC-27	Afum_B7594_CDC_27	B7594_CDC_27	B7594	1	MAT1
A_fum_COH_371	COH_371	Afum_COH_371	COH_371	A_fum_COH_371	1	MAT2
A_fum_COH_400	COH_400	Afum_COH_400	COH_400	A_fum_COH_400	1	MAT2
A_fum_COH_694	COH_694.2	Afum_COH_694	COH_694	A_fum_COH_694	1	MAT2
A_fum_COH_762	COH_762	Afum_COH_762	COH_762	A_fum_COH_762	1	MAT1
A_fum_COH_880	COH_880	Afum_COH_880	COH_880	A_fum_COH_880	1	MAT1
A_fum_COH_885	COH_885.2	Afum_COH_885	COH_885	A_fum_COH_885	1	MAT2
A_fum_COH_913	COH_913	Afum_COH_913	COH_913	A_fum_COH_913	1	MAT2
A_fum_Mg18_1	Mg18-1	Afum_Mg18_1	Mg18_1	A_fum_Mg18_1	1	MAT1
A_fum_Moose_3_1_2	Moose_3-1.2	Afum_Moose_3_1_2	Moose_3_1_2	A_fum_Moose_3_1_2	1	MAT1
A_fum_Oryx_1	Oryx_1	Afum_Oryx_1	Oryx_1	A_fum_Oryx_1	1	MAT2
A1159	A1159	Afum_A1159	A1159	A1159	2	MAT1
A1163	A1163	Afum_A1163	A1163	A1163	1	MAT1
Af_M1509_D	Af-M1509-D	Afum_Af_M1509_D	Af_M1509_D	Af-M1509-D	1	MAT1
AF210	AF210	Afum_AF210	AF210	AF210	2	MAT1
AF293	AF293	Afum_AF293	AF293	AF293	1	MAT2
AF300	AF300	Afum_AF300	AF300	AF300	1	MAT1
AF41	AF41	Afum_AF41	AF41	AF41	1	MAT2
Af65	Af65	Afum_Af65	Af65	Af65	2	MAT2
AF72	AF72	Afum_AF72	AF72	AF72	1	MAT2
AF90	AF90	Afum_AF90	AF90	AF90	1	MAT1
Afu_1042_09	Afu_1042-09	Afum_Afu_1042_09	Afu_1042_09	Afu_1042-09	2	MAT1
Afu_124_E11	Afu_124-E11	Afum_Afu_124_E11	Afu_124_E11	Afu_124-E11	2	MAT1
Afu_166_E11	Afu_166-E11	Afum_Afu_166_E11	Afu_166_E11	Afu_166-E11	2	MAT1
Afu_218_E11	Afu_218-E11	Afum_Afu_218_E11	Afu_218_E11	Afu_218-E11	2	MAT1
Afu_257_E11	Afu_257-E11	Afum_Afu_257_E11	Afu_257_E11	Afu_257-E11	2	MAT1
Afu_343_P_11	Afu_343-P-11	Afum_Afu_343_P_11	Afu_343_P_11	Afu_343-P-11	2	unknown
