B52_16	B5288_CDC-16	Ascomycota
SRR2954803	LMB-35Aa	Ascomycota
ERR232406	AF293-VKBR1	Ascomycota
SRR5676588	MO76959EXP	Ascomycota
SRR343152	F15767	Ascomycota
B75_26	B7518_CDC-26	Ascomycota
AFCDC_1	AFIS_2101_CDC-1	Ascomycota
SRR7418923	CM2733	Ascomycota
SRR617723	F12041	Ascomycota
B5960CDC_29	B5960_CDC_29	Ascomycota
B68_3	B6892_CDC-3	Ascomycota
SRR617727	F13619	Ascomycota
ERR232434	F4S1B	Ascomycota
SRR7418946	TP32	Ascomycota
SRR159253	NCPF-7820	Ascomycota
B52_28	B5257_CDC-28	Ascomycota
COH934	COH_934	Ascomycota
ERR232408	SF3S10	Ascomycota
ERR232413	F20140	Ascomycota
ERR769512	08-19-02-46	Ascomycota
ERR232439	F18304	Ascomycota
ERR232430	D17	Ascomycota
ERR769515	Afu_1042_09	Ascomycota
ERR232412	F18454	Ascomycota
ERR769507	08-36-03-25	Ascomycota
ERR769516	Afu_343_P_11	Ascomycota
SRR5676586	MO68507EXP	Ascomycota
SRR343143	B6078	Ascomycota
Oryx_1	Oryx-1	Ascomycota
ERR232407	AF293-VKWH2	Ascomycota
SRR617745	F17764	Ascomycota
AF_18	AFIS_2302_CDC-18	Ascomycota
SRR617742	F18085	Ascomycota
ERR232422	SF2S6	Ascomycota
B10_20	B10540_CDC-20	Ascomycota
SRR4142436	A1159	Ascomycota
SRR7418933	CM7570	Ascomycota
ERR232405	CF337	Ascomycota
ERR232431	SF3S1	Ascomycota
SRR7418940	TP12	Ascomycota
ERR769514	Afu_942_09	Ascomycota
ERR769509	08-19-02-61	Ascomycota
SRR5676589	MO69250EXP	Ascomycota
ERR769511	10-01-02-27	Ascomycota
SRR4002443	ISSF_21	Ascomycota
COH762	COH_762	Ascomycota
SRR7418939	CM7510	Ascomycota
SRR343137	B5859	Ascomycota
SRR617722	AF90	Ascomycota
ERR769521	Afu_218_E11	Ascomycota
DRR022926	IFM_59361-2	Ascomycota
Moose_3_1_2	Moose-3_1_2	Ascomycota
SRR343149	F11628	Ascomycota
SRR617721	AF72	Ascomycota
SRR4002444	1F1SW_F4	Ascomycota
ERR232415	SF1S6	Ascomycota
AF_12	AFIS_23107_CDC-12	Ascomycota
SRR617735	F16134	Ascomycota
SRR617734	F15927	Ascomycota
ERR769508	08-31-08-91	Ascomycota
B54_13	B5460_CDC-13	Ascomycota
SRR7418925	CM7560	Ascomycota
SRR7418944	CM5419	Ascomycota
B75_30	B7586_CDC-30	Ascomycota
SRR7418931	AF293	Ascomycota
ERR062316	A_fumigatus_v67-37	Ascomycota
C56A1_11	C56A.1-1.1	Ascomycota
B5258CDC_22	B5258_CDC_22	Ascomycota
SRR159254	NCPF-7822	Ascomycota
ERR769498	Af293	Ascomycota
SRR617737	F16311	Ascomycota
SRR617720	AF41	Ascomycota
ERR232429	AP65	Ascomycota
SRR159251	NCPF-7816	Ascomycota
ERR769501	12-7505220	Ascomycota
